FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACIÓN_TOTAL;POBLACIÓN_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;RESIDUOS_LIMENTICIOS;MALEZA;RESIDUOS_ORGANICOS;PAPEL_BLANCO;PAPEL_PERIODICO;PAPEL_MIXTO;CARTON_BLANCO;CARTON_MARRON;CARTON_MIXTO;VIDRIO_TRANSPARENTE;VIDRIO_OTROS_COLORES;VIDRIOS_OTROS;TEREFLATO_POLIETILENO;POLIETILENO_ALTA_DENSIDAD;POLIETILENO_BAJA_DENSIDAD;POLIPROPILENO;OLIESTIRENO;QPOLICLORURO_VINILO;TETRABRICK;LATA;METALES_FERROSOS;ALUMINIO;OTROS_METALES;BOLSAS_PLASTICAS;RESIDUOS_SANITARIOS;RESIDUOS_PILAS;TECNOPOR;RESIDUOS_INERTES;RESIDUOS_TEXTILES;CAUCHO_CUERO;MEDICAMENTOS;ENVOLTURAS_SNAKCS_OTROS;RESIDUOS_NO_CATEGORIZADOS;PERIODO
20230627;1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;37870;37125;745;0.51;6910.82;4538.33;96.45;17.22;133.66;2.62;19.29;158.46;150.47;2.48;145.37;45.75;0;57.87;43.4;38.17;6.75;19.01;4.68;13.78;53.6;108.72;3.72;3.44;45.47;19.98;308.65;659.32;9.09;9.65;62.69;55.8;26.18;50.74;2019
20230627;2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;281;147;134;0.54;29.05;17.88;1.32;0.73;0.29;0.16;0.22;0.06;0.33;0.2;0.19;0.23;0.21;0.44;0.24;0.23;0.3;0.13;0.09;0.1;0.45;0.24;0.14;0.09;0.27;0.1;0.64;1.04;0.04;0.34;1.82;0.07;0.12;0.36;2019
20230627;3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1202;336;866;0.44;53.68;22.4;2.84;2.95;1.06;0.61;0.77;0.51;0.89;0.58;1;0.58;0.22;1.45;0.69;0.65;0.52;0.39;0.19;0.19;1.26;0.44;0.2;0.18;0.57;0.3;2.32;4.14;0.23;0.45;3.59;0.25;0.57;0.71;2019
20230627;4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;696;467;229;0.44;74.6;31.14;3.94;4.1;1.47;0.85;1.06;0.72;1.24;0.8;1.38;0.8;0.3;2.02;0.97;0.91;0.72;0.54;0.26;0.27;1.75;0.62;0.28;0.25;0.79;0.41;3.22;5.75;0.32;0.63;4.99;0.35;0.8;0.98;2019
20230627;5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;604;178;426;0.44;28.44;11.87;1.5;1.56;0.56;0.32;0.41;0.27;0.47;0.31;0.53;0.31;0.11;0.77;0.37;0.35;0.28;0.2;0.1;0.1;0.67;0.24;0.11;0.09;0.3;0.16;1.23;2.19;0.12;0.24;1.9;0.13;0.3;0.37;2019
20230627;6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;1955;521;1434;0.44;83.23;34.74;4.4;4.57;1.64;0.95;1.19;0.8;1.38;0.9;1.54;0.89;0.33;2.25;1.08;1.01;0.81;0.6;0.29;0.3;1.95;0.69;0.31;0.27;0.88;0.46;3.59;6.42;0.36;0.7;5.56;0.39;0.89;1.09;2019
20230627;7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;532;183;349;0.54;36.16;22.26;1.64;0.91;0.36;0.2;0.27;0.08;0.41;0.24;0.24;0.28;0.26;0.55;0.3;0.28;0.38;0.16;0.11;0.12;0.56;0.29;0.17;0.12;0.33;0.13;0.8;1.29;0.04;0.42;2.27;0.09;0.14;0.45;2019
20230627;8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1395;1338;57;0.48;236.34;82.17;17.99;11.95;11.11;0;0;0;6.91;1.91;3.22;3.42;0;4.87;2.64;2.88;4.37;1.59;3.25;0;8.08;15.03;3.05;5.14;2.72;2.28;4.09;9.55;2.42;2.42;10.85;2.76;4.77;4.91;2019
20230627;9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;4080;2312;1768;0.54;456.84;281.23;20.69;11.49;4.51;2.59;3.45;0.98;5.15;3.09;3.04;3.55;3.3;6.89;3.8;3.6;4.75;2.02;1.35;1.57;7.09;3.71;2.16;1.46;4.18;1.6;10.13;16.33;0.56;5.3;28.7;1.13;1.83;5.63;2019
20230627;10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;3845;2859;986;0.68;709.6;436.83;32.14;17.85;7;4.02;5.37;1.53;7.99;4.8;4.72;5.52;5.13;10.7;5.89;5.58;7.37;3.14;2.09;2.43;11.01;5.76;3.35;2.27;6.5;2.48;15.74;25.37;0.87;8.23;44.57;1.76;2.84;8.74;2019
20230627;11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;817;449;368;0.44;71.73;29.94;3.79;3.94;1.41;0.81;1.02;0.69;1.19;0.77;1.33;0.77;0.29;1.94;0.93;0.87;0.7;0.52;0.25;0.26;1.68;0.59;0.27;0.24;0.76;0.4;3.1;5.53;0.31;0.6;4.8;0.33;0.77;0.94;2019
20230627;12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;913;731;182;0.54;144.44;88.92;6.54;3.63;1.43;0.82;1.09;0.31;1.63;0.98;0.96;1.12;1.04;2.18;1.2;1.14;1.5;0.64;0.43;0.5;2.24;1.17;0.68;0.46;1.32;0.51;3.2;5.16;0.18;1.67;9.07;0.36;0.58;1.78;2019
20230627;13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1507;1036;471;0.48;179.85;70.28;39.99;29.32;2.46;0.13;0.39;0;6.16;0;0;0.11;0;6.07;4.43;0;0.09;0;0;0.35;4.44;0.83;0;0;0;0;0;10.24;0.1;0;3.57;0.87;0;0;2019
20230627;14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2296;631;1665;0.44;100.8;42.07;5.33;5.54;1.99;1.14;1.44;0.97;1.67;1.09;1.87;1.08;0.41;2.73;1.31;1.22;0.98;0.73;0.36;0.36;2.37;0.83;0.38;0.33;1.07;0.56;4.35;7.77;0.43;0.85;6.74;0.47;1.08;1.33;2019
20230627;15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;503;461;42;0.45;75.01;29.31;16.68;12.23;1.03;0.06;0.16;0;2.57;0;0;0.04;0;2.53;1.85;0;0.04;0;0;0.15;1.85;0.35;0;0;0;0;0;4.27;0.04;0;1.49;0.36;0;0;2019
20230627;16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;429;141;288;0.54;27.86;17.15;1.26;0.7;0.27;0.16;0.21;0.06;0.31;0.19;0.19;0.22;0.2;0.42;0.23;0.22;0.29;0.12;0.08;0.1;0.43;0.23;0.13;0.09;0.26;0.1;0.62;1;0.03;0.32;1.75;0.07;0.11;0.34;2019
20230627;17;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;807;95;712;0.54;18.77;11.56;0.85;0.47;0.19;0.11;0.14;0.04;0.21;0.13;0.12;0.15;0.14;0.28;0.16;0.15;0.2;0.08;0.06;0.06;0.29;0.15;0.09;0.06;0.17;0.07;0.42;0.67;0.02;0.22;1.18;0.05;0.08;0.23;2019
20230627;18;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;323;238;85;0.41;35.62;21.93;1.61;0.9;0.35;0.2;0.27;0.08;0.4;0.24;0.24;0.28;0.26;0.54;0.3;0.28;0.37;0.16;0.11;0.12;0.55;0.29;0.17;0.11;0.33;0.12;0.79;1.27;0.04;0.41;2.24;0.09;0.14;0.44;2019
20230627;19;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;599;429;170;0.54;84.77;52.18;3.84;2.13;0.84;0.48;0.64;0.18;0.95;0.57;0.56;0.66;0.61;1.28;0.7;0.67;0.88;0.38;0.25;0.29;1.32;0.69;0.4;0.27;0.78;0.3;1.88;3.03;0.1;0.98;5.32;0.21;0.34;1.04;2019
